"","experiment","condition","trait","comparison","adj.p.value"
"702","CRISPR","amsacrine","median.norm.EXT","ECA232-ECA1135",0.292737368283038
"703","CRISPR","amsacrine","median.norm.EXT","N2-ECA1135",0.871487926492556
"704","CRISPR","amsacrine","median.norm.EXT","N2-ECA232",0.980687588753302
"705","CRISPR","bleomycin","median.norm.EXT","ECA1114-CB4856",7.97140131680862e-14
"706","CRISPR","bleomycin","median.norm.EXT","ECA1132-CB4856",2.64708255315327e-11
"707","CRISPR","bleomycin","median.norm.EXT","ECA1133-CB4856",9.34316676559632e-06
"708","CRISPR","bleomycin","median.norm.EXT","ECA1134-CB4856",1.77917800492366e-08
"709","CRISPR","bleomycin","median.norm.EXT","ECA1135-CB4856",4.45331338427835e-06
"710","CRISPR","bleomycin","median.norm.EXT","ECA232-CB4856",0.0279235680809024
"711","CRISPR","bleomycin","median.norm.EXT","N2-CB4856",0.438482578503632
"712","CRISPR","bleomycin","median.norm.EXT","ECA1132-ECA1114",0.0478633873270772
"713","CRISPR","bleomycin","median.norm.EXT","ECA1133-ECA1114",6.68412188153944e-07
"714","CRISPR","bleomycin","median.norm.EXT","ECA1134-ECA1114",8.5315213802728e-05
"715","CRISPR","bleomycin","median.norm.EXT","ECA1135-ECA1114",2.18151039788061e-07
"716","CRISPR","bleomycin","median.norm.EXT","ECA232-ECA1114",1.00142116821189e-13
"717","CRISPR","bleomycin","median.norm.EXT","N2-ECA1114",7.54951656745106e-14
"718","CRISPR","bleomycin","median.norm.EXT","ECA1133-ECA1132",0.0783153183477445
"719","CRISPR","bleomycin","median.norm.EXT","ECA1134-ECA1132",0.696958221469869
"720","CRISPR","bleomycin","median.norm.EXT","ECA1135-ECA1132",0.0597878361256706
"721","CRISPR","bleomycin","median.norm.EXT","ECA232-ECA1132",4.27588699225545e-07
"722","CRISPR","bleomycin","median.norm.EXT","N2-ECA1132",2.66942468130082e-10
"723","CRISPR","bleomycin","median.norm.EXT","ECA1134-ECA1133",0.880845388697315
"724","CRISPR","bleomycin","median.norm.EXT","ECA1135-ECA1133",1
"725","CRISPR","bleomycin","median.norm.EXT","ECA232-ECA1133",0.0988157499138078
"726","CRISPR","bleomycin","median.norm.EXT","N2-ECA1133",0.00104292033220155
"727","CRISPR","bleomycin","median.norm.EXT","ECA1135-ECA1134",0.864487963535903
"728","CRISPR","bleomycin","median.norm.EXT","ECA232-ECA1134",0.00051336372425026
"729","CRISPR","bleomycin","median.norm.EXT","N2-ECA1134",7.26657479188653e-07
"730","CRISPR","bleomycin","median.norm.EXT","ECA232-ECA1135",0.0675094592965594
"731","CRISPR","bleomycin","median.norm.EXT","N2-ECA1135",0.000461729689005819
"732","CRISPR","bleomycin","median.norm.EXT","N2-ECA232",0.779801066840798
"733","CRISPR","silver","median.norm.EXT","ECA1114-CB4856",1.48547840694846e-13
"734","CRISPR","silver","median.norm.EXT","ECA1132-CB4856",0.775021869624918
"735","CRISPR","silver","median.norm.EXT","ECA1133-CB4856",0.258341048986935
"736","CRISPR","silver","median.norm.EXT","ECA1134-CB4856",0.0290742007078679
"737","CRISPR","silver","median.norm.EXT","ECA1135-CB4856",0.0548318169372507
"738","CRISPR","silver","median.norm.EXT","ECA232-CB4856",0.00670827223488157
"739","CRISPR","silver","median.norm.EXT","N2-CB4856",0.999966845307459
"740","CRISPR","silver","median.norm.EXT","ECA1132-ECA1114",1.35114142096882e-13
"741","CRISPR","silver","median.norm.EXT","ECA1133-ECA1114",7.81699149854376e-11
"742","CRISPR","silver","median.norm.EXT","ECA1134-ECA1114",1.45620093761067e-09
"743","CRISPR","silver","median.norm.EXT","ECA1135-ECA1114",2.35691510752645e-09
"744","CRISPR","silver","median.norm.EXT","ECA232-ECA1114",2.43228566176867e-08
"745","CRISPR","silver","median.norm.EXT","N2-ECA1114",4.6296300126869e-14
"746","CRISPR","silver","median.norm.EXT","ECA1133-ECA1132",0.96550533813394
"747","CRISPR","silver","median.norm.EXT","ECA1134-ECA1132",0.428092112832042
"748","CRISPR","silver","median.norm.EXT","ECA1135-ECA1132",0.593847631444294
"749","CRISPR","silver","median.norm.EXT","ECA232-ECA1132",0.146834636898789
"750","CRISPR","silver","median.norm.EXT","N2-ECA1132",0.256929423055016
"751","CRISPR","silver","median.norm.EXT","ECA1134-ECA1133",0.981872782042809
"752","CRISPR","silver","median.norm.EXT","ECA1135-ECA1133",0.995469138208016
"753","CRISPR","silver","median.norm.EXT","ECA232-ECA1133",0.818319321763454
"754","CRISPR","silver","median.norm.EXT","N2-ECA1133",0.0222355793098876
"755","CRISPR","silver","median.norm.EXT","ECA1135-ECA1134",0.999999787628508
"756","CRISPR","silver","median.norm.EXT","ECA232-ECA1134",0.999151115596044
"757","CRISPR","silver","median.norm.EXT","N2-ECA1134",0.000301373589749354
"758","CRISPR","silver","median.norm.EXT","ECA232-ECA1135",0.996342590104738
"759","CRISPR","silver","median.norm.EXT","N2-ECA1135",0.00120918479385512
"760","CRISPR","silver","median.norm.EXT","N2-ECA232",2.59577184785753e-05
"761","CRISPR","puromycin","median.norm.EXT","ECA1114-CB4856",1.07642233750926e-05
"762","CRISPR","puromycin","median.norm.EXT","ECA1132-CB4856",0.00629677547918761
"763","CRISPR","puromycin","median.norm.EXT","ECA1133-CB4856",0.984301794558791
"764","CRISPR","puromycin","median.norm.EXT","ECA1134-CB4856",0.843689035023256
"765","CRISPR","puromycin","median.norm.EXT","ECA1135-CB4856",0.0082016084190617
"766","CRISPR","puromycin","median.norm.EXT","ECA232-CB4856",0.960019689563952
"767","CRISPR","puromycin","median.norm.EXT","N2-CB4856",0.48336335991905
"768","CRISPR","puromycin","median.norm.EXT","ECA1132-ECA1114",0.505014940335716
"769","CRISPR","puromycin","median.norm.EXT","ECA1133-ECA1114",9.3509554034088e-05
"770","CRISPR","puromycin","median.norm.EXT","ECA1134-ECA1114",0.000166281966900939
"771","CRISPR","puromycin","median.norm.EXT","ECA1135-ECA1114",0.369114962628354
"772","CRISPR","puromycin","median.norm.EXT","ECA232-ECA1114",1.43768574507597e-05
"773","CRISPR","puromycin","median.norm.EXT","N2-ECA1114",0.00150036469231707
"774","CRISPR","puromycin","median.norm.EXT","ECA1133-ECA1132",0.0503497622727136
"775","CRISPR","puromycin","median.norm.EXT","ECA1134-ECA1132",0.106761882098971
"776","CRISPR","puromycin","median.norm.EXT","ECA1135-ECA1132",0.99999979875895
"777","CRISPR","puromycin","median.norm.EXT","ECA232-ECA1132",0.0252948719616065
"778","CRISPR","puromycin","median.norm.EXT","N2-ECA1132",0.371954376472905
"779","CRISPR","puromycin","median.norm.EXT","ECA1134-ECA1133",0.999608340540745
"780","CRISPR","puromycin","median.norm.EXT","ECA1135-ECA1133",0.0647360033096444
"781","CRISPR","puromycin","median.norm.EXT","ECA232-ECA1133",0.999999991892315
"782","CRISPR","puromycin","median.norm.EXT","N2-ECA1133",0.948052682942298
"783","CRISPR","puromycin","median.norm.EXT","ECA1135-ECA1134",0.135956039810296
"784","CRISPR","puromycin","median.norm.EXT","ECA232-ECA1134",0.999826132382653
"785","CRISPR","puromycin","median.norm.EXT","N2-ECA1134",0.997597389179639
"786","CRISPR","puromycin","median.norm.EXT","ECA232-ECA1135",0.0330615259983412
"787","CRISPR","puromycin","median.norm.EXT","N2-ECA1135",0.446135211367563
"788","CRISPR","puromycin","median.norm.EXT","N2-ECA232",0.944248378041986
"789","CRISPR","cisplatin","median.norm.EXT","ECA1114-CB4856",7.44200340299095e-05
"790","CRISPR","cisplatin","median.norm.EXT","ECA1132-CB4856",0.00453988791513527
"791","CRISPR","cisplatin","median.norm.EXT","ECA1133-CB4856",0.999999879994123
"792","CRISPR","cisplatin","median.norm.EXT","ECA1134-CB4856",0.106976609804884
"793","CRISPR","cisplatin","median.norm.EXT","ECA1135-CB4856",0.14604787625361
"794","CRISPR","cisplatin","median.norm.EXT","ECA232-CB4856",0.174146879785205
"795","CRISPR","cisplatin","median.norm.EXT","N2-CB4856",0.945010345140351
"796","CRISPR","cisplatin","median.norm.EXT","ECA1132-ECA1114",0.823132386136757
"797","CRISPR","cisplatin","median.norm.EXT","ECA1133-ECA1114",2.32787470337836e-05
"798","CRISPR","cisplatin","median.norm.EXT","ECA1134-ECA1114",0.148003291401137
"799","CRISPR","cisplatin","median.norm.EXT","ECA1135-ECA1114",0.104341360701218
"800","CRISPR","cisplatin","median.norm.EXT","ECA232-ECA1114",0.0960321041943677
"801","CRISPR","cisplatin","median.norm.EXT","N2-ECA1114",0.000640872970923856
"802","CRISPR","cisplatin","median.norm.EXT","ECA1133-ECA1132",0.00217751856177062
"803","CRISPR","cisplatin","median.norm.EXT","ECA1134-ECA1132",0.908308999306679
"804","CRISPR","cisplatin","median.norm.EXT","ECA1135-ECA1132",0.842072151766444
"805","CRISPR","cisplatin","median.norm.EXT","ECA232-ECA1132",0.81682023751276
"806","CRISPR","cisplatin","median.norm.EXT","N2-ECA1132",0.0419425595878868
"807","CRISPR","cisplatin","median.norm.EXT","ECA1134-ECA1133",0.0836959851217379
"808","CRISPR","cisplatin","median.norm.EXT","ECA1135-ECA1133",0.119833206311803
"809","CRISPR","cisplatin","median.norm.EXT","ECA232-ECA1133",0.147810097466714
"810","CRISPR","cisplatin","median.norm.EXT","N2-ECA1133",0.96017385582372
"811","CRISPR","cisplatin","median.norm.EXT","ECA1135-ECA1134",0.999999859091876
"812","CRISPR","cisplatin","median.norm.EXT","ECA232-ECA1134",0.999998434515307
"813","CRISPR","cisplatin","median.norm.EXT","N2-ECA1134",0.550928959996342
"814","CRISPR","cisplatin","median.norm.EXT","ECA232-ECA1135",0.99999999963105
"815","CRISPR","cisplatin","median.norm.EXT","N2-ECA1135",0.655801318409765
"816","CRISPR","cisplatin","median.norm.EXT","N2-ECA232",0.711875547411431
